From	Entry	Entry Name	Organism
1nvq	O14757	CHK1_HUMAN	Homo sapiens (Human)
3myg	O14965	AURKA_HUMAN	Homo sapiens (Human)
4jia	O60674	JAK2_HUMAN	Homo sapiens (Human)
3p5o	O60885	BRD4_HUMAN	Homo sapiens (Human)
4twp	P00519	ABL1_HUMAN	Homo sapiens (Human)
3utu	P00734	THRB_HUMAN	Homo sapiens (Human)
1mq6	P00742	FA10_HUMAN	Homo sapiens (Human)
1sqa	P00749	UROK_HUMAN	Homo sapiens (Human)
3dd0	P00918	CAH2_HUMAN	Homo sapiens (Human)
2p15	P03372	ESR1_HUMAN	Homo sapiens (Human)
4ty7	P03951	FA11_HUMAN	Homo sapiens (Human)
4agq	P04637	P53_HUMAN	Homo sapiens (Human)
2yki	P07900	HS90A_HUMAN	Homo sapiens (Human)
5dwr	P11309	PIM1_HUMAN	Homo sapiens (Human)
2qbp	P18031	PTN1_HUMAN	Homo sapiens (Human)
4ivc	P23458	JAK1_HUMAN	Homo sapiens (Human)
2fvd	P24941	CDK2_HUMAN	Homo sapiens (Human)
2p4y	P37231	PPARG_HUMAN	Homo sapiens (Human)
3fv1	P39086	GRIK1_HUMAN	Homo sapiens (Human)
4gr0	P39900	MMP12_HUMAN	Homo sapiens (Human)
4w9h	P40337	VHL_HUMAN	Homo sapiens (Human)
4gid	P56817	BACE1_HUMAN	Homo sapiens (Human)
4rfm	Q08881	ITK_HUMAN	Homo sapiens (Human)
4w9h	Q15369	ELOC_HUMAN	Homo sapiens (Human)
4w9h	Q15370	ELOB_HUMAN	Homo sapiens (Human)
2p15	Q15596	NCOA2_HUMAN	Homo sapiens (Human)
3e93	Q16539	MK14_HUMAN	Homo sapiens (Human)
3kr8	Q9H2K2	TNKS2_HUMAN	Homo sapiens (Human)
5c2h	Q9Y233	PDE10_HUMAN	Homo sapiens (Human)
